Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",24,6
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1,6
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",8,6
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6,6
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,6
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,6
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",2,6
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",1,5
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",3,6
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",2,5
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",5,5
