farm_code,region,date,elevation_m,order,family,tribe,genus,species,codsp,common_name,abundance
12,Los Santos,2021-03-30T00:00:00Z,1506,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",8
12,Los Santos,2021-03-30T00:00:00Z,1506,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
13,Los Santos,2021-04-02T00:00:00Z,1584,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
13,Los Santos,2021-04-02T00:00:00Z,1584,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",12
14,Los Santos,2021-04-23T00:00:00Z,1852,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",18
14,Los Santos,2021-04-23T00:00:00Z,1852,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
14,Los Santos,2021-04-23T00:00:00Z,1852,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4
15,Los Santos,2021-04-05T00:00:00Z,1903,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",11
15,Los Santos,2021-04-05T00:00:00Z,1903,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1
15,Los Santos,2021-04-05T00:00:00Z,1903,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1
15,Los Santos,2021-04-05T00:00:00Z,1903,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",9
16,Los Santos,2021-04-02T00:00:00Z,1539,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",7
16,Los Santos,2021-04-02T00:00:00Z,1539,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2
17,Los Santos,2021-03-31T00:00:00Z,1770,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4
17,Los Santos,2021-03-31T00:00:00Z,1770,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",5
17,Los Santos,2021-03-31T00:00:00Z,1770,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1
18,Los Santos,2021-03-31T00:00:00Z,1624,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
18,Los Santos,2021-03-31T00:00:00Z,1624,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
18,Los Santos,2021-03-31T00:00:00Z,1624,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",3
18,Los Santos,2021-03-31T00:00:00Z,1624,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",11
18,Los Santos,2021-03-31T00:00:00Z,1624,Hymenoptera,Apidae,Meliponini,Trigona,nigerrima,TRINIG,"Atarrá, enredapelos",1
19,Los Santos,2021-04-06T00:00:00Z,1880,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",15
19,Los Santos,2021-04-06T00:00:00Z,1880,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
19,Los Santos,2021-04-06T00:00:00Z,1880,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
19,Los Santos,2021-04-06T00:00:00Z,1880,Hymenoptera,Apidae,Xylocopini,Xylocopa,unknown,XYLSPP,"Chiquizá, carpintera",1
21,Los Santos,2021-04-01T00:00:00Z,1749,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
21,Los Santos,2021-04-01T00:00:00Z,1749,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",3
21,Los Santos,2021-04-01T00:00:00Z,1749,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",2
20,Los Santos,2021-04-06T00:00:00Z,2117,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,4
20,Los Santos,2021-04-06T00:00:00Z,2117,Hymenoptera,Apidae,Bombini,Bombus,melaleucus,BOMMEL,Chiquizá,2
22,Los Santos,2021-05-18T00:00:00Z,1779,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",16
22,Los Santos,2021-05-18T00:00:00Z,1779,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1
22,Los Santos,2021-05-18T00:00:00Z,1779,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",5
23,Los Santos,2021-04-23T00:00:00Z,1523,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
23,Los Santos,2021-04-23T00:00:00Z,1523,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
23,Los Santos,2021-04-23T00:00:00Z,1523,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",4
24,Los Santos,2021-04-01T00:00:00Z,1399,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
24,Los Santos,2021-04-01T00:00:00Z,1399,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",2
24,Los Santos,2021-04-01T00:00:00Z,1399,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1
24,Los Santos,2021-04-01T00:00:00Z,1399,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",8
25,Los Santos,2021-03-30T00:00:00Z,1742,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
25,Los Santos,2021-03-30T00:00:00Z,1742,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6
25,Los Santos,2021-03-30T00:00:00Z,1742,Hymenoptera,Apidae,Xylocopini,Xylocopa,unknown,XYLSPP,"Chiquizá, carpintera",2
26,Los Santos,2021-04-02T00:00:00Z,1471,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",6
27,Los Santos,2021-03-30T00:00:00Z,1361,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
