family,tribe,genus,species,floral_constancy,social_behavior,nesting_substrate,dist_moure,dist_disc,dist_nat,fc_cleptobiotic,fc_cleptoparasite,fc_polylectic,sb_cleptoparasite,sb_primitive_social,sb_semisocial,sb_communal,sb_social,sb_cleptobiotic,sb_solitary,ns_cavities,ns_dead_tree_trunk,ns_exposed_nests,ns_soil_cavities,ns_soil_galleries,ns_termite_nest,ns_unknown,ns_wood_galleries,dist_Alajuela_moure,dist_Cartago_moure,dist_Guanacaste_moure,dist_Heredia_moure,dist_Limón_moure,dist_Puntarenas_moure,dist_SanJosé_moure,dist_Alajuela_disc,dist_Cartago_disc,dist_Guanacaste_disc,dist_Heredia_disc,dist_Limón_disc,dist_Puntarenas_disc,dist_SanJosé_disc,dist_Alajuela_nat,dist_Cartago_nat,dist_Guanacaste_nat,dist_Heredia_nat,dist_Limón_nat,dist_Puntarenas_nat,dist_SanJosé_nat,dist_Alajuela_all,dist_Cartago_all,dist_Guanacaste_all,dist_Heredia_all,dist_Limón_all,dist_Puntarenas_all,dist_SanJosé_all
Apidae,Meliponini,Plebeia,frontalis,Polylectic,Social,cavities,All provinces,All provinces,"All provinces, except Cartago",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Plebeia,jatiformis,Polylectic,Social,cavities,"Cartago, Puntarenas","Cartago, Puntarenas, Guanacaste, Heredia","Puntarenas, Guanacaste, San José",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1
Apidae,Meliponini,Plebeia,llorentei,Polylectic,Social,cavities,No record was found,No record was found,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apidae,Meliponini,Plebeia,pulchra,Polylectic,Social,cavities,No record was found,"Puntarenas, San José","Puntarenas, Guanacaste, San José, Alajuela",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
Halictidae,Halictini,Ptilocleptis,unknown,Cleptoparasite,Cleptoparasite,unknown,No record was found,San José,No record was found,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Apidae,Meliponini,Scaptotrigona,pectoralis,Polylectic,Social,cavities,"All provinces, except Heredia","All provinces, except Heredia","Puntarenas, Guanacaste,San José, Alajuela, Limón",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
Apidae,Meliponini,Scaptotrigona,subobscuripennis,Polylectic,Social,cavities,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Apidae,Meliponini,Scaura,argyrea,Polylectic,Social,termite nest,"Cartago, Guanacaste, Puntarenas, San José","Cartago, Guanacaste, Puntarenas, San José, Limón",No record was found,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Apidae,Meliponini,Tetragona,perangulata,Polylectic,Social,cavities,"Guanacaste, Puntarenas","Guanacaste, Puntarenas",No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Apidae,Meliponini,Tetragona,ziegleri,Polylectic,Social,cavities,"All provinces, except San José","Cartago, Guanacaste, Puntarenas, Heredia, Limón",No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
